P1001	applies to jurisdiction	the item (institution, law, public office, public register...) or statement belongs to or has power over or applies to the value (a territorial jurisdiction: a country, state, municipality, ...)
P101	field of work	specialization of a person or organization
P1018	language regulatory body	regulatory body of a language
P102	member of political party	the political party of which a person is or has been a member or otherwise affiliated
P1027	conferred by	person or organization who grants an award, certification, grant, or role
P103	native language	language or languages a person has learned from early childhood
P1034	main food source	species, genus or family that an organism depends on for nutrition
P105	taxon rank	level in a taxonomic hierarchy
P1056	product, material, or service produced or provided	material or product produced or sold by an organization, industry, facility, or process
P106	occupation	occupation of a person
P108	employer	person or organization for which the subject works or worked
P10888	contains the statistical territorial entity	(list of) statistical territorial entities which are direct subdivisions of another statistical or administrative territorial entity
P112	founded by	founder or co-founder of this organization, religion, place or entity
P1142	political ideology	political ideology of an organization or person or of a work (such as a newspaper)
P115	home venue	home stadium or venue of a sports team or applicable performing arts organization
P118	league or competition	league or competition in which team or player plays or has played in
P119	place of burial	location of grave, resting place, place of ash-scattering, etc. (e.g., town/city or cemetery) for a person or animal. There may be several places: e.g., re-burials, parts of body buried separately.
P1196	manner of death	general circumstances of a person's death
P121	item operated	equipment, installation or service operated by the subject
P122	basic form of government	subject's government
P123	publisher	organization or person responsible for publishing books, periodicals, printed music, podcasts, games or software
P12443	has cabinet	value is the advisory committee to the item's head of state
P1269	facet of	topic of which this item is an aspect
P127	owned by	owner of the subject
P129	physically interacts with	physical entity that the subject interacts with
P1299	depicted by	object depicting this subject (object being creative works such as books, films, paintings)
P1303	instrument	musical instrument that a person plays or teaches or used in a music occupation
P1304	central bank	country's central bank
P131	located in the administrative territorial entity	the item is located on the territory of the following administrative entity.
P1313	office held by head of government	political office that is fulfilled by the head of the government of this item
P1343	described by source	work where this item is described
P1344	participant in	event in which a person or organization was/is a participant
P136	genre	creative work's genre or an artist's field of work
P1365	replaces	person, state or item replaced.
P1366	replaced by	other person or item which continues the item by replacing it in its role.
P137	operator	person, profession, organization or entity that operates the equipment, facility, or service
P1376	capital of	country, state, department, canton or other administrative division of which the municipality is the governmental seat
P138	named after	entity or event that inspired the subject's name, or namesake (in at least one language). Qualifier applies to name
P1382	partially coincident with	object that partially overlaps with the subject in its instances, parts, or members
P140	religion or worldview	religion of a person, organization or religious building, or associated with this subject
P1411	nominated for	award nomination received by a person, organisation or creative work (inspired from award received
P1412	languages spoken, written or signed	language(s) that a person or a people speaks, writes or signs, including the native language(s)
P1416	affiliation	organization that a person or organization is affiliated with (not necessarily member of or employed by)
P1435	heritage designation	heritage designation of a cultural or natural site
P144	based on	the work(s) or inputs used as the basis for subject item
P1441	present in work	this (fictional or fictionalized) entity, place, or person appears in that work as part of the narration 
P1454	legal form	legal form of an entity
P1456	list of monuments	link to the list of heritage monuments in the place/area
P150	contains the administrative territorial entity	(list of) direct subdivisions of an administrative territorial entity
P1532	country for sport	country a person or a team represents when playing a sport
P1535	used by	item or concept that makes
P1542	has effect	effect of this item
P1546	motto	description of the motto of the subject
P155	follows	immediately prior item in a series of which the subject is a part, preferably
P1552	has characteristic	inherent or distinguishing quality or feature of the entity.
P156	followed by	immediately following item in a series of which the subject is a part, preferably
P1589	lowest point	point with lowest elevation in the country, region, city or area
P159	headquarters location	city or town where an organization's headquarters is or has been situated.
P1622	driving side	side of the road that vehicles drive on in a given jurisdiction
P163	flag	subject's flag
P166	award received	award or recognition received by a person, organization or creative work
P17	country	sovereign state that this item is in (not to be used for human beings)
P170	creator	maker of this creative work or other object (where no more specific property exists)
P171	parent taxon	closest parent taxon of the taxon in question
P172	ethnic group	subject's ethnicity (consensus is that a VERY high standard of proof is needed for this field to be used. In general this means 1) the subject claims it themselves, or 2) it is widely agreed on by scholars, or 3) is fictional and portrayed as such)
P1830	owner of	entities owned by the subject
P1889	different from	item that is different from another item, with which it may be confused
P19	place of birth	most specific known birth location of a person, animal or fictional character
